repo,id,number,title,state,created_at,closed_at
ollama/ollama,3003780395,10333,CLI: image path not recognized correctly,open,2025-04-18T02:15:41Z,
ollama/ollama,3003690379,10332,"Deploying ollama on #openshift but error ""could not find /.ollama/id_ed25519' Generating new private key.",closed,2025-04-18T00:58:42Z,2025-04-21T03:44:58Z
ollama/ollama,3003679232,10331,Client2 Feedback,open,2025-04-18T00:42:48Z,
ollama/ollama,3003641029,10330,"install TARGETS given target ""ggml-cpu"" which does not exist (archlinux, amd64, gfx1201)",open,2025-04-17T23:56:47Z,
ollama/ollama,3003640644,10329,"Error  after creating a model : ""Error: pull model manifest: file does not exist""",open,2025-04-17T23:56:11Z,
ollama/ollama,3003629185,10328,Error when using tools: cannot unmarshal array into Go struct field .tools.function.parameters.properties.type of type string,open,2025-04-17T23:39:46Z,
ollama/ollama,3003556189,10327,ollama ps reports wrong values (depending on num_batch?),open,2025-04-17T22:22:52Z,
ollama/ollama,3003501983,10325,running ollama CLI client on a server and backend on another server,closed,2025-04-17T21:46:27Z,2025-04-17T21:53:15Z
ollama/ollama,3003363236,10324,Add remote Model with local API Key (Proxy),open,2025-04-17T20:15:05Z,
ollama/ollama,3002648807,10323,GPU Memory Utilization and Performance Anomalies,open,2025-04-17T14:19:07Z,
ollama/ollama,3002080818,10321,Please support MT-GPU in ollama,open,2025-04-17T10:25:21Z,
ollama/ollama,3001845188,10320,Add a command in cli to update ollama!,open,2025-04-17T08:45:40Z,
ollama/ollama,3001736425,10319,ps show 100% usage but actually running on CPU,open,2025-04-17T07:56:02Z,
ollama/ollama,3001693830,10318,How to force to load all layers to GPU than partly?,closed,2025-04-17T07:35:27Z,2025-04-21T08:06:21Z
ollama/ollama,3001237665,10315,Local Model Not Working Properly and Ollama Keeps Asking to Pull,open,2025-04-17T02:57:23Z,
ollama/ollama,3001224077,10313,Is bitnet-b1.58-2B-4T-gguf available?,open,2025-04-17T02:44:02Z,
ollama/ollama,3001200344,10312,The image recognition effect is poor: gemma3,open,2025-04-17T02:20:43Z,
ollama/ollama,3001183824,10311,6.5 in app but 6.2 in terminal,open,2025-04-17T02:07:15Z,
ollama/ollama,3000998739,10309,Support for OpenAI Responses API (for Codex CLI compatibility),open,2025-04-16T23:33:52Z,
ollama/ollama,3000994407,10308,"podman error with ollama image  with ""Error: Head ""http://0.0.0.0:11434/"": EOF""",closed,2025-04-16T23:31:47Z,2025-04-17T23:39:15Z
ollama/ollama,3000753334,10307,"client2: pulling non-existent model prints duplicate ""not found"" error message",closed,2025-04-16T21:11:09Z,2025-04-19T01:12:29Z
ollama/ollama,3000526060,10305,Add a model type to api/tags API request,open,2025-04-16T19:15:34Z,
ollama/ollama,2999890059,10301,Control multi-GPU distribution for models regardless of size,closed,2025-04-16T14:45:31Z,2025-04-16T15:50:09Z
ollama/ollama,2999512648,10300,Ollama reverts to CPU after several hours,open,2025-04-16T12:35:20Z,
ollama/ollama,2999393186,10298,"Support to GLM-Z1-32B, GLM-Z1-Rumination-32B",open,2025-04-16T11:48:13Z,
ollama/ollama,2999335462,10297,the issue of multiple GPU inference models running to the CPU for gemma3 27b,open,2025-04-16T11:23:23Z,
ollama/ollama,2999025511,10296,Error running mistral-small3.1:24b (GPU+CPU - not enough VRAM so split is needed),open,2025-04-16T09:23:01Z,
ollama/ollama,2998676438,10295,🤗 Use 8 or 16 bit integers for internal representation for integer quantized models instead of floats.,open,2025-04-16T07:05:07Z,
ollama/ollama,2998591776,10294,how to make commited ollama image after I changed,closed,2025-04-16T06:32:09Z,2025-04-16T23:30:13Z
ollama/ollama,2998525055,10293,"Save the question, too.",open,2025-04-16T06:08:26Z,
ollama/ollama,2997023713,10288,Possible memory leak running gemma3-12b,closed,2025-04-15T16:41:07Z,2025-04-15T18:39:22Z
ollama/ollama,2996700423,10287,could not update ollama manually,closed,2025-04-15T14:43:31Z,2025-04-15T15:03:47Z
ollama/ollama,2996555391,10286,"POST /api/show to Show Model Information returning values for ""tensors"" key on ""verbose"": false?",open,2025-04-15T14:05:46Z,
ollama/ollama,2995574367,10284,An error is reported for the GLM4 model deployed on MAC intel,closed,2025-04-15T08:16:35Z,2025-04-15T08:45:55Z
ollama/ollama,2995466901,10283,Zeroconf (mDNS/Bonjour) Support for LAN Discovery,open,2025-04-15T07:37:31Z,
ollama/ollama,2995466008,10282,ollama create  error,open,2025-04-15T07:37:08Z,
ollama/ollama,2995445964,10281,Time to first token about 50s?,open,2025-04-15T07:28:54Z,
ollama/ollama,2995019027,10279,Olama did not receive a stream return when calling MCP,open,2025-04-15T04:03:38Z,
ollama/ollama,2995002706,10278,Does it support the qwen2.5-omin model,closed,2025-04-15T03:55:20Z,2025-04-15T07:47:36Z
ollama/ollama,2994161861,10274,Add a way to interleave messages and images in `/api/chat`,open,2025-04-14T20:43:21Z,
ollama/ollama,2994154035,10273,Don't collate messages in the API,open,2025-04-14T20:38:59Z,
ollama/ollama,2994002255,10272,Hide latest in the API,open,2025-04-14T19:23:29Z,
ollama/ollama,2993731260,10271,Model Request: ALLaM-AI/ALLaM-7B-Instruct-preview,open,2025-04-14T17:41:16Z,
ollama/ollama,2993553302,10270,Environment Variable Not Used - On Install,open,2025-04-14T16:20:56Z,
ollama/ollama,2993534336,10269,"GLM-4-0414 series, 9B & 32B",open,2025-04-14T16:12:28Z,
ollama/ollama,2993523400,10268,Requesting the model all-hands/openhands-lm-32b-v0.1,open,2025-04-14T16:07:34Z,
ollama/ollama,2993351884,10267,Downloader incorrectly assumes only range is downloaded (even when HTTP 200 is returned),open,2025-04-14T15:01:10Z,
ollama/ollama,2992966022,10266,"llama2 models hanging,  no response. Exception 0xc0000005 signal arrived during external code execution",closed,2025-04-14T12:45:19Z,2025-04-18T16:22:29Z
ollama/ollama,2992944792,10265,"When running the model, this issue arises “CUDA error: an illegal memory access was encountered”",open,2025-04-14T12:37:18Z,
ollama/ollama,2992937045,10264,Licenses of the DeepSeek-R1-distilled models,open,2025-04-14T12:34:11Z,
ollama/ollama,2992874217,10263,Add a parameter to prevent keep_alive from being overwritten by API,open,2025-04-14T12:09:21Z,
ollama/ollama,2992580258,10262,key not found Warnings in Logs When Running Gemma3 12B on AMD EPYC,open,2025-04-14T10:10:09Z,
ollama/ollama,2992135814,10261,使用spring-ai-starter-mcp-client连接mcp server，重启mcp server以后以前的client不会自动重连。,closed,2025-04-14T07:24:50Z,2025-04-15T01:27:47Z
ollama/ollama,2992130818,10260,The free deepseek from Silicon Mobility is better than the deepseek in Ollama？,open,2025-04-14T07:22:34Z,
ollama/ollama,2991819179,10259,image-based PDFs,closed,2025-04-14T04:05:18Z,2025-04-14T05:36:59Z
ollama/ollama,2991512017,10258,Ollama is not working on Kubernetes after 0.5.0,closed,2025-04-13T22:04:49Z,2025-04-16T12:13:11Z
ollama/ollama,2991235043,10257,Docker container loses GPU access after running for a while on Ubuntu 24.04,closed,2025-04-13T12:27:37Z,2025-04-13T12:45:31Z
ollama/ollama,2991144559,10256,`model requires more system memory (42.8 GiB) than is available (12.9 GiB)` - Memory leak?,open,2025-04-13T09:07:52Z,
ollama/ollama,2991051112,10255,"litellm.exceptions.APIConnectionError: litellm.APIConnectionError: Ollama_chatException - {""error"":""json: cannot unmarshal array into Go struct field ChatRequest.messages.content of type string""}",open,2025-04-13T06:11:42Z,
ollama/ollama,2990695120,10252,Add account deletion + download-my-data feature to ollama.com (GDPR/DPA compliance),open,2025-04-12T20:01:58Z,
ollama/ollama,2990597894,10251,ollama on linux x86_64 without sudo,closed,2025-04-12T17:42:15Z,2025-04-13T20:31:25Z
ollama/ollama,2990568675,10250,"ollama in Gentoo Doesn't Use 1080ti GPU, Falls back to CPU",closed,2025-04-12T16:49:47Z,2025-04-12T19:35:42Z
ollama/ollama,2990474809,10249,Add tools support for agent use with DeepCoder model,open,2025-04-12T13:28:45Z,
ollama/ollama,2990463400,10248,"InternVL3 Series with Vision, Tools Support, and Quantized Versions",open,2025-04-12T13:02:34Z,
ollama/ollama,2990460653,10247,"InternVL3 Series with Vision, Tools Support, and Quantized Versions",closed,2025-04-12T12:56:36Z,2025-04-12T13:03:01Z
ollama/ollama,2990412461,10246,Linux tips-  sharing models directory with Msty,open,2025-04-12T11:09:28Z,
ollama/ollama,2990380567,10244,Add support Intel GPU by OneApi /SYCL,open,2025-04-12T09:56:15Z,
ollama/ollama,2990136296,10243,out of memory when running Gemma3,closed,2025-04-12T03:05:01Z,2025-04-12T04:29:37Z
ollama/ollama,2989755108,10241,Add support for ROCm 6.4,open,2025-04-11T21:25:06Z,
ollama/ollama,2989441577,10236,Send Multiple Chat Requests to Ollama Server Does Not Work ,closed,2025-04-11T18:33:04Z,2025-04-13T04:22:34Z
ollama/ollama,2989398868,10235,Granite 3.2 Vision and Chat History,open,2025-04-11T18:14:20Z,
ollama/ollama,2988374799,10234,Mistral Small 3.1 - Sometimes crashes Olllama during image chats,open,2025-04-11T11:22:17Z,
ollama/ollama,2988274727,10233,GGML_ASSERT Crash with Parallel Requests and Shared Memory,open,2025-04-11T10:37:24Z,
ollama/ollama,2987890908,10232,Model Randomly splits between CPU and GPU,open,2025-04-11T08:04:05Z,
ollama/ollama,2987775103,10231,Mistral-small3.1:24b Not Fully Utilizing A10 GPU,open,2025-04-11T07:10:33Z,
ollama/ollama,2987767139,10230,Error: pull model manifest: file does not exist,open,2025-04-11T07:06:29Z,
ollama/ollama,2987451048,10229,Severe Performance Drop and Desktop UI Stuttering on RX 7600 XT with High VRAM Usage (ROCm on Ubuntu),open,2025-04-11T03:27:35Z,
ollama/ollama,2987425980,10228,Issue with Embedding Model Loading Failure,closed,2025-04-11T03:01:36Z,2025-04-17T00:49:42Z
ollama/ollama,2987287100,10227,Make GPU vendor support optional during installation on Windows,open,2025-04-11T00:55:52Z,
ollama/ollama,2986764870,10223,Quantization Uses System Drive,closed,2025-04-10T20:10:28Z,2025-04-10T20:45:26Z
ollama/ollama,2986738624,10222,Support Jinja chat templates,open,2025-04-10T19:57:11Z,
ollama/ollama,2986014972,10219,System crashes when attempting to load a model that exceeds RAM capacity,open,2025-04-10T15:07:47Z,
ollama/ollama,2985990348,10218,Image recognition doesn't work with models downloaded from another site,open,2025-04-10T14:59:14Z,
ollama/ollama,2985877588,10217,mistral-small3.1 is not loaded fully to GPU on RX 7900 XTX,open,2025-04-10T14:24:27Z,
ollama/ollama,2984916744,10216,8*H100 server didn't use GPU to run model,open,2025-04-10T08:37:15Z,
ollama/ollama,2984741632,10215,"load_tensors: tensor 'token_embd.weight' cannot be used with preferred buffer type CUDA_Host, using CPU instead",open,2025-04-10T07:32:15Z,
ollama/ollama,2984663947,10214,Concurrency Does Not Scale When Increasing GPUs from 2x to 4x RTX 4090 serving `qwq` model,open,2025-04-10T06:58:25Z,
ollama/ollama,2984555226,10213,Using JSON-structured output seems to affect the model's output.,closed,2025-04-10T06:03:03Z,2025-04-11T06:08:25Z
ollama/ollama,2984483194,10212,request: run models directly in the browser,open,2025-04-10T05:13:58Z,
ollama/ollama,2984476688,10211,"Error: could not connect to ollama app, is it running? (MacOS)",open,2025-04-10T05:09:51Z,
ollama/ollama,2984465926,10210,ollama.com: profile links section incomplete,open,2025-04-10T05:04:23Z,
ollama/ollama,2984357638,10209,CLI: environment variable to disable stream,open,2025-04-10T03:35:59Z,
ollama/ollama,2984335486,10208,ollama show --verbose reporting wrong infromation,open,2025-04-10T03:15:40Z,
ollama/ollama,2984328647,10207,API Default  Model,closed,2025-04-10T03:09:25Z,2025-04-11T14:37:45Z
ollama/ollama,2984304627,10206,There are ads on the official website models?,open,2025-04-10T02:46:28Z,
ollama/ollama,2983612346,10204,"Ollama ignores CUDA after reboot, falls back to CPU only",closed,2025-04-09T18:45:35Z,2025-04-15T10:46:23Z
ollama/ollama,2982391377,10200,[Documentation] Automation of addition of latest models in readme through Github Actions,open,2025-04-09T10:36:24Z,
ollama/ollama,2982303091,10199,Error: vocabulary is larger than expected '262145' instead of '262144',closed,2025-04-09T10:04:30Z,2025-04-11T18:28:02Z
ollama/ollama,2982234414,10198,windows系统的，点开就默认安装c盘了，可以让修改一下么？,closed,2025-04-09T09:44:21Z,2025-04-13T20:30:31Z
ollama/ollama,2981765394,10195,hf pull has broken,closed,2025-04-09T06:58:37Z,2025-04-10T17:22:46Z
ollama/ollama,2981710178,10194,Add Human Feedback,open,2025-04-09T06:39:43Z,
ollama/ollama,2981687109,10193,Supporting private Hugging Face repos hosted on Jfrog Artifactory,open,2025-04-09T06:31:54Z,
ollama/ollama,2981480798,10191,"Ollama 'API' at localhost:11434 returns a string of numbers, not a response.",closed,2025-04-09T04:13:05Z,2025-04-10T04:30:38Z
ollama/ollama,2981465731,10190,llama vs ollama,closed,2025-04-09T03:59:21Z,2025-04-09T05:02:16Z
ollama/ollama,2981382452,10189,双服务器显卡共用,closed,2025-04-09T02:40:40Z,2025-04-13T20:30:11Z
ollama/ollama,2981299799,10188,Support Dream 7b,open,2025-04-09T01:29:47Z,
ollama/ollama,2980754835,10184,Some kernel names are not shown on Nvidia Nsight System,closed,2025-04-08T19:26:31Z,2025-04-11T19:47:50Z
ollama/ollama,2980613134,10183,Understanding context length,open,2025-04-08T18:18:05Z,
ollama/ollama,2979925517,10181,NewLlamaServer failed - model requires more system memory for gemma3:12b,closed,2025-04-08T14:08:27Z,2025-04-08T14:34:45Z
ollama/ollama,2979887116,10180,ollama run phi4-mini error,open,2025-04-08T13:55:51Z,
ollama/ollama,2979731963,10178,Option to disable CPU fallback for SOC with unified memory,open,2025-04-08T13:02:21Z,
ollama/ollama,2979700458,10177,mistral-small3.1 using too much VRAM,closed,2025-04-08T12:50:57Z,2025-04-08T23:49:02Z
ollama/ollama,2978728913,10176,Switched to `nomic-embed-text` model but still get `8192` dimension,closed,2025-04-08T06:26:06Z,2025-04-08T09:18:29Z
ollama/ollama,2978682490,10175,Mistral-small3.1 crashes on prompt,closed,2025-04-08T05:59:32Z,2025-04-09T09:12:23Z
ollama/ollama,2978309519,10172,tensor-split  problem,open,2025-04-08T00:47:21Z,
ollama/ollama,2978079005,10170,Multimodal broken in 6.5?,open,2025-04-07T21:54:21Z,
ollama/ollama,2977796452,10167,Quantized Mistral small 3.1 doesn't utilize NVIDIA GPUs,closed,2025-04-07T19:26:17Z,2025-04-08T15:37:45Z
ollama/ollama,2977632621,10165,Capitalize Ollama in `ollama` help description,open,2025-04-07T18:16:07Z,
ollama/ollama,2977410148,10164,Tool call - Ollama enforces usage of string in enums for JSON Schema,closed,2025-04-07T16:33:06Z,2025-04-08T22:05:39Z
ollama/ollama,2977294874,10163,qwen2.5:72b and llama3:70b not using GPU – extremely slow and consume 40GB+ RAM,closed,2025-04-07T15:47:36Z,2025-04-11T01:22:47Z
ollama/ollama,2976406233,10161,granite3.2-vision:latest or any other variants not running when trying to use image understanding capabilites,closed,2025-04-07T10:34:06Z,2025-04-07T12:04:57Z
ollama/ollama,2976100356,10160,Will --ctx-size 24576 override the environment variable OLLAMA_CONTEXT_LENGTH?,closed,2025-04-07T08:46:55Z,2025-04-13T20:28:46Z
ollama/ollama,2975966608,10159,gemma3:27b gets stuck into generating the same token and producing useless gibberish output,open,2025-04-07T07:58:40Z,
ollama/ollama,2975869685,10158,Llama4ForConditionalGeneration unsupported issue,closed,2025-04-07T07:18:32Z,2025-04-07T11:03:28Z
ollama/ollama,2975651450,10157,Q6 quant (with vision support) for mistral-small:24b-3.1-instruct-2503?,open,2025-04-07T05:18:31Z,
ollama/ollama,2975410009,10155,Feature Request:Always use the GPU,open,2025-04-07T01:40:45Z,
ollama/ollama,2975248193,10154,Failed to load `mistral-small:24b-3.1-instruct-2503-q4_K_M`,closed,2025-04-06T21:28:22Z,2025-04-06T21:45:39Z
ollama/ollama,2975050311,10153,Models listed aren't in order,closed,2025-04-06T16:17:49Z,2025-04-07T17:29:54Z
ollama/ollama,2974999208,10152,RX580,open,2025-04-06T14:45:27Z,
ollama/ollama,2974979544,10151,dial tcp: lookup dd20bb891979d25aebc8bec07b2b3bbc.r2.cloudflarestorage.com: no such host,closed,2025-04-06T14:09:59Z,2025-04-07T11:06:14Z
ollama/ollama,2974821142,10149,`OLLAMA_CONTEXT_LENGTH=4096` but `OllamaEmbeddings` still shows `8192`,closed,2025-04-06T09:15:53Z,2025-04-08T04:04:46Z
ollama/ollama,2974686282,10146,"Why doesn't my L20 load the model into the GPU after starting ollama serve, here is the content of my OLLAMA_DEBUG=1 ollama serve.",closed,2025-04-06T04:43:41Z,2025-04-06T13:42:01Z
ollama/ollama,2974552388,10143,Llama 4 support,open,2025-04-05T22:59:10Z,
ollama/ollama,2974531366,10142,Using Ollama Run -> /clear = Not clearing chat context,open,2025-04-05T22:08:20Z,
ollama/ollama,2974363424,10140,ollama version 5.11.0 is too slow in the generate process,closed,2025-04-05T17:03:41Z,2025-04-06T04:41:46Z
ollama/ollama,2974333150,10139,OpenAI API: Models with slashes not retrievable,open,2025-04-05T16:25:37Z,
ollama/ollama,2974146262,10138,Installer corrupted: cublastLt64_12.dll corrupted + other files.,open,2025-04-05T11:45:11Z,
ollama/ollama,2974002142,10137,Performance is terrible,closed,2025-04-05T07:47:50Z,2025-04-05T08:49:25Z
ollama/ollama,2973789744,10136,Where is the log file and how can I configure the location of it?,closed,2025-04-05T02:59:15Z,2025-04-13T20:42:42Z
ollama/ollama,2973511791,10132,Very strange RAM behavior with v0.6.4 (memory leak?),closed,2025-04-04T22:52:21Z,2025-04-08T21:30:44Z
ollama/ollama,2973065376,10130,Ai Vision - Wildy Different Results Between Gemma3 34b OpenAI / Vs Ollama Endpoint,open,2025-04-04T18:06:56Z,
ollama/ollama,2973006787,10128,Incorrect VRAM estimation,open,2025-04-04T17:34:17Z,
ollama/ollama,2972899844,10127,panic: failed to decode batch: could not find a kv cache slot (length: 6656),open,2025-04-04T16:39:08Z,
ollama/ollama,2972236025,10126,"Issue with HTTP Status ""100 ContinueHTTP/1.1 200 OK"" When Sending List Input to 'POST /api/embed' Endpoint",closed,2025-04-04T12:27:56Z,2025-04-08T12:45:35Z
ollama/ollama,2972223719,10125,qwen2.5-coder-cline:14b not using NVIDIA GPU,open,2025-04-04T12:24:25Z,
ollama/ollama,2971953311,10124,How to allocate more to the GPU?,closed,2025-04-04T10:27:15Z,2025-04-04T11:11:28Z
ollama/ollama,2971360005,10123,"Structure output ""allOf"":",open,2025-04-04T06:03:30Z,
ollama/ollama,2971169047,10122,Running Ollama as a k8s STS with external script as entrypoint to load models,closed,2025-04-04T03:19:40Z,2025-04-05T08:36:44Z
ollama/ollama,2971090487,10121,Can't use official QAT GGUF of  Gemma-3-27b-it,closed,2025-04-04T02:06:46Z,2025-04-19T18:23:36Z
ollama/ollama,2970867038,10119,Ollama hangs while generating a response,open,2025-04-03T22:59:18Z,
ollama/ollama,2970791752,10118,Maybe propose podman as it works well with GPU too,open,2025-04-03T22:04:08Z,
ollama/ollama,2970460683,10116,Deploy silently (macOS),open,2025-04-03T19:13:39Z,
ollama/ollama,2970407093,10115,Error: an error was encountered while running the model: unexpected EOF,closed,2025-04-03T18:46:05Z,2025-04-03T23:55:49Z
ollama/ollama,2969986920,10114,Ollama not freeing and eventually running out of memory [all models],closed,2025-04-03T15:28:36Z,2025-04-14T07:33:30Z
ollama/ollama,2969965726,10113,CUDA out of memory: Mixed VRAM Cards,open,2025-04-03T15:21:09Z,
ollama/ollama,2969856485,10112,Please Add Qwen/Qwen2.5-omni-7b,closed,2025-04-03T14:45:36Z,2025-04-03T15:11:33Z
ollama/ollama,2969529398,10111,llama3-gradient:1048k stuck at loading model,closed,2025-04-03T13:06:40Z,2025-04-04T13:24:19Z
ollama/ollama,2969502623,10110,Ollama does not recognize models that were copied,closed,2025-04-03T12:56:44Z,2025-04-03T13:39:06Z
ollama/ollama,2969110052,10109,Connection refused from ollama server running in a k8s cluster?,closed,2025-04-03T10:32:20Z,2025-04-03T11:24:36Z
ollama/ollama,2968959962,10108,Gracefully terminate a background `ollama serve` process via a ollama command,open,2025-04-03T09:47:49Z,
ollama/ollama,2968786604,10107,How to connect to ollama server running in a k8s cluster?,closed,2025-04-03T08:47:32Z,2025-04-03T10:39:45Z
ollama/ollama,2968730947,10106,Does the Olama plan support the PPC64LE architecture,closed,2025-04-03T08:24:28Z,2025-04-13T20:32:23Z
ollama/ollama,2968674340,10105,"docker ""ollama/ollama:latest"" image still pointing to 0.6.2",closed,2025-04-03T08:03:37Z,2025-04-03T18:21:06Z
ollama/ollama,2968655164,10104,How to force `mmap=True` in low-memory conditions? (can't load/test a 250Gb quantized model with 200Gb RAM and 80Gb VRAM),closed,2025-04-03T07:55:23Z,2025-04-13T20:27:53Z
ollama/ollama,2968546960,10103,Missing latest tag on latest release,closed,2025-04-03T07:05:17Z,2025-04-03T20:53:26Z
ollama/ollama,2968457531,10102,`llama3.2` struggles to parse email into `EmailModel`,closed,2025-04-03T06:15:57Z,2025-04-03T22:54:27Z
ollama/ollama,2968110603,10101,Update broken on Linux,open,2025-04-03T02:53:58Z,
ollama/ollama,2968061020,10100,Expect support for Qwen2.5 Omni,closed,2025-04-03T02:32:15Z,2025-04-03T15:11:05Z
ollama/ollama,2967879453,10098,Feature Request: Display Minimum Hardware Requirement Specifications,open,2025-04-03T00:53:11Z,
ollama/ollama,2967784923,10097,Add an easy way to list all models and their capabilities,open,2025-04-02T23:38:12Z,
ollama/ollama,2967310074,10094,Unable to Unset `SYSTEM` Prompt When Creating New Models with `FROM`,open,2025-04-02T19:10:32Z,
ollama/ollama,2967186541,10093,Error creating Ollama model from hugging face microsoft/phi4,open,2025-04-02T18:13:13Z,
ollama/ollama,2967095164,10092,Using split memory (RAM+VRAM) should never happen,open,2025-04-02T17:32:54Z,
ollama/ollama,2966816599,10090,Nvidia Jetson Nano with cuda 10.2,open,2025-04-02T15:37:50Z,
ollama/ollama,2966697808,10089,Exceeding GPU memory even I have 2 GPUs,closed,2025-04-02T15:05:08Z,2025-04-08T21:20:41Z
ollama/ollama,2966311912,10088,"Use HF's unsloth quantized multipart GGUF and maybe safetensors files directly (a directory with 6 files: `...-00001-of-00006.gguf`, etc) without requiring merging into a single GGUF file",closed,2025-04-02T12:56:01Z,2025-04-13T20:25:47Z
ollama/ollama,2966085317,10087,Support of WSL1: cpu-only mode should probably work?,open,2025-04-02T11:29:46Z,
ollama/ollama,2965711456,10086,Long running ollama processes and high CPU usage,open,2025-04-02T09:02:08Z,
ollama/ollama,2965703420,10085,Feature Request: Add gRPC API Support,open,2025-04-02T08:59:52Z,
ollama/ollama,2965552240,10084,RWKV7 Support,open,2025-04-02T08:13:03Z,
ollama/ollama,2965360815,10083,can't use ollama create to load gguf models,closed,2025-04-02T06:52:15Z,2025-04-13T20:24:26Z
ollama/ollama,2965267198,10082,Gemma3 cannot correctly read the image,open,2025-04-02T05:56:50Z,
ollama/ollama,2964234756,10077,Gemma3 adds new lines after message,open,2025-04-01T18:17:17Z,
ollama/ollama,2963972406,10076,Ollama doesn't release RAM,open,2025-04-01T16:36:40Z,
ollama/ollama,2963451745,10075,GPU Not Being Used Despite CUDA Installation and GPU Detection (Ollama 0.6.3 on Arch Linux(,closed,2025-04-01T13:26:11Z,2025-04-07T17:41:18Z
ollama/ollama,2962916950,10074,can't run models,closed,2025-04-01T09:50:55Z,2025-04-02T01:45:09Z
ollama/ollama,2962740359,10073,Does Olama support speech to text model,closed,2025-04-01T08:45:55Z,2025-04-13T20:24:06Z
ollama/ollama,2962706169,10072,Can't pull a model to the k8s volume mounted by the AWS S3 CSI driver,open,2025-04-01T08:32:35Z,
ollama/ollama,2962692409,10071,"ollama run dimavz/whisper-tiny Error: Post ""http://127.0.0.1:11434/api/generate"": EOF",closed,2025-04-01T08:27:05Z,2025-04-01T08:55:40Z
ollama/ollama,2961231990,10065,Phi4 multimodal with 128k context length support,closed,2025-03-31T18:20:38Z,2025-03-31T18:44:53Z
ollama/ollama,2960367865,10063,Error: listen tcp 0.0.0.0:11434: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted.,closed,2025-03-31T12:33:10Z,2025-03-31T20:47:09Z
