repo,title,created_at,closed_at
ollama/ollama,An error is reported for the GLM4 model deployed on MAC intel,2025-04-15 08:16:35+00:00,2025-04-15 08:45:55+00:00
ollama/ollama,Zeroconf (mDNS/Bonjour) Support for LAN Discovery,2025-04-15 07:37:31+00:00,
ollama/ollama,ollama create  error,2025-04-15 07:37:08+00:00,
ollama/ollama,Time to first token about 50s?,2025-04-15 07:28:54+00:00,
ollama/ollama,Olama did not receive a stream return when calling MCP,2025-04-15 04:03:38+00:00,
ollama/ollama,Does it support the qwen2.5-omin model,2025-04-15 03:55:20+00:00,2025-04-15 07:47:36+00:00
ollama/ollama,Add a way to interleave messages and images in `/api/chat`,2025-04-14 20:43:21+00:00,
ollama/ollama,Don't collate messages in the API,2025-04-14 20:38:59+00:00,
ollama/ollama,Hide latest in the API,2025-04-14 19:23:29+00:00,
ollama/ollama,Model Request: ALLaM-AI/ALLaM-7B-Instruct-preview,2025-04-14 17:41:16+00:00,
ollama/ollama,Environment Variable Not Used - On Install,2025-04-14 16:20:56+00:00,
ollama/ollama,"GLM-4-0414 series, 9B & 32B",2025-04-14 16:12:28+00:00,
ollama/ollama,Requesting the model all-hands/openhands-lm-32b-v0.1,2025-04-14 16:07:34+00:00,
ollama/ollama,Downloader incorrectly assumes only range is downloaded (even when HTTP 200 is returned),2025-04-14 15:01:10+00:00,
ollama/ollama,"llama2 models hanging,  no response. Exception 0xc0000005 signal arrived during external code execution",2025-04-14 12:45:19+00:00,2025-04-18 16:22:29+00:00
ollama/ollama,"When running the model, this issue arises “CUDA error: an illegal memory access was encountered”",2025-04-14 12:37:18+00:00,
ollama/ollama,Licenses of the DeepSeek-R1-distilled models,2025-04-14 12:34:11+00:00,
ollama/ollama,Add a parameter to prevent keep_alive from being overwritten by API,2025-04-14 12:09:21+00:00,
ollama/ollama,key not found Warnings in Logs When Running Gemma3 12B on AMD EPYC,2025-04-14 10:10:09+00:00,
ollama/ollama,使用spring-ai-starter-mcp-client连接mcp server，重启mcp server以后以前的client不会自动重连。,2025-04-14 07:24:50+00:00,2025-04-15 01:27:47+00:00
ollama/ollama,The free deepseek from Silicon Mobility is better than the deepseek in Ollama？,2025-04-14 07:22:34+00:00,
ollama/ollama,image-based PDFs,2025-04-14 04:05:18+00:00,2025-04-14 05:36:59+00:00
ollama/ollama,Ollama is not working on Kubernetes after 0.5.0,2025-04-13 22:04:49+00:00,2025-04-16 12:13:11+00:00
ollama/ollama,Docker container loses GPU access after running for a while on Ubuntu 24.04,2025-04-13 12:27:37+00:00,2025-04-13 12:45:31+00:00
ollama/ollama,`model requires more system memory (42.8 GiB) than is available (12.9 GiB)` - Memory leak?,2025-04-13 09:07:52+00:00,
ollama/ollama,"litellm.exceptions.APIConnectionError: litellm.APIConnectionError: Ollama_chatException - {""error"":""json: cannot unmarshal array into Go struct field ChatRequest.messages.content of type string""}",2025-04-13 06:11:42+00:00,
ollama/ollama,Add account deletion + download-my-data feature to ollama.com (GDPR/DPA compliance),2025-04-12 20:01:58+00:00,
ollama/ollama,ollama on linux x86_64 without sudo,2025-04-12 17:42:15+00:00,2025-04-13 20:31:25+00:00
ollama/ollama,"ollama in Gentoo Doesn't Use 1080ti GPU, Falls back to CPU",2025-04-12 16:49:47+00:00,2025-04-12 19:35:42+00:00
ollama/ollama,Add tools support for agent use with DeepCoder model,2025-04-12 13:28:45+00:00,
ollama/ollama,"InternVL3 Series with Vision, Tools Support, and Quantized Versions",2025-04-12 13:02:34+00:00,
ollama/ollama,"InternVL3 Series with Vision, Tools Support, and Quantized Versions",2025-04-12 12:56:36+00:00,2025-04-12 13:03:01+00:00
ollama/ollama,Linux tips-  sharing models directory with Msty,2025-04-12 11:09:28+00:00,
ollama/ollama,Add support Intel GPU by OneApi /SYCL,2025-04-12 09:56:15+00:00,
ollama/ollama,out of memory when running Gemma3,2025-04-12 03:05:01+00:00,2025-04-12 04:29:37+00:00
ollama/ollama,Add support for ROCm 6.4,2025-04-11 21:25:06+00:00,
ollama/ollama,Send Multiple Chat Requests to Ollama Server Does Not Work ,2025-04-11 18:33:04+00:00,2025-04-13 04:22:34+00:00
ollama/ollama,Granite 3.2 Vision and Chat History,2025-04-11 18:14:20+00:00,
ollama/ollama,Mistral Small 3.1 - Sometimes crashes Olllama during image chats,2025-04-11 11:22:17+00:00,
ollama/ollama,GGML_ASSERT Crash with Parallel Requests and Shared Memory,2025-04-11 10:37:24+00:00,
ollama/ollama,Model Randomly splits between CPU and GPU,2025-04-11 08:04:05+00:00,
ollama/ollama,Mistral-small3.1:24b Not Fully Utilizing A10 GPU,2025-04-11 07:10:33+00:00,
ollama/ollama,Error: pull model manifest: file does not exist,2025-04-11 07:06:29+00:00,
ollama/ollama,Severe Performance Drop and Desktop UI Stuttering on RX 7600 XT with High VRAM Usage (ROCm on Ubuntu),2025-04-11 03:27:35+00:00,
ollama/ollama,Issue with Embedding Model Loading Failure,2025-04-11 03:01:36+00:00,2025-04-17 00:49:42+00:00
ollama/ollama,Make GPU vendor support optional during installation on Windows,2025-04-11 00:55:52+00:00,
ollama/ollama,Quantization Uses System Drive,2025-04-10 20:10:28+00:00,2025-04-10 20:45:26+00:00
ollama/ollama,Support Jinja chat templates,2025-04-10 19:57:11+00:00,
ollama/ollama,System crashes when attempting to load a model that exceeds RAM capacity,2025-04-10 15:07:47+00:00,
ollama/ollama,Image recognition doesn't work with models downloaded from another site,2025-04-10 14:59:14+00:00,
ollama/ollama,mistral-small3.1 is not loaded fully to GPU on RX 7900 XTX,2025-04-10 14:24:27+00:00,
ollama/ollama,8*H100 server didn't use GPU to run model,2025-04-10 08:37:15+00:00,
ollama/ollama,"load_tensors: tensor 'token_embd.weight' cannot be used with preferred buffer type CUDA_Host, using CPU instead",2025-04-10 07:32:15+00:00,
ollama/ollama,Concurrency Does Not Scale When Increasing GPUs from 2x to 4x RTX 4090 serving `qwq` model,2025-04-10 06:58:25+00:00,
ollama/ollama,Using JSON-structured output seems to affect the model's output.,2025-04-10 06:03:03+00:00,2025-04-11 06:08:25+00:00
ollama/ollama,request: run models directly in the browser,2025-04-10 05:13:58+00:00,
ollama/ollama,"Error: could not connect to ollama app, is it running? (MacOS)",2025-04-10 05:09:51+00:00,
ollama/ollama,ollama.com: profile links section incomplete,2025-04-10 05:04:23+00:00,
ollama/ollama,CLI: environment variable to disable stream,2025-04-10 03:35:59+00:00,
ollama/ollama,ollama show --verbose reporting wrong infromation,2025-04-10 03:15:40+00:00,
ollama/ollama,API Default  Model,2025-04-10 03:09:25+00:00,2025-04-11 14:37:45+00:00
ollama/ollama,There are ads on the official website models?,2025-04-10 02:46:28+00:00,
ollama/ollama,"Ollama ignores CUDA after reboot, falls back to CPU only",2025-04-09 18:45:35+00:00,2025-04-15 10:46:23+00:00
ollama/ollama,[Documentation] Automation of addition of latest models in readme through Github Actions,2025-04-09 10:36:24+00:00,
ollama/ollama,Error: vocabulary is larger than expected '262145' instead of '262144',2025-04-09 10:04:30+00:00,2025-04-11 18:28:02+00:00
ollama/ollama,windows系统的，点开就默认安装c盘了，可以让修改一下么？,2025-04-09 09:44:21+00:00,2025-04-13 20:30:31+00:00
ollama/ollama,hf pull has broken,2025-04-09 06:58:37+00:00,2025-04-10 17:22:46+00:00
ollama/ollama,Add Human Feedback,2025-04-09 06:39:43+00:00,
ollama/ollama,Supporting private Hugging Face repos hosted on Jfrog Artifactory,2025-04-09 06:31:54+00:00,
ollama/ollama,"Ollama 'API' at localhost:11434 returns a string of numbers, not a response.",2025-04-09 04:13:05+00:00,2025-04-10 04:30:38+00:00
ollama/ollama,llama vs ollama,2025-04-09 03:59:21+00:00,2025-04-09 05:02:16+00:00
ollama/ollama,双服务器显卡共用,2025-04-09 02:40:40+00:00,2025-04-13 20:30:11+00:00
ollama/ollama,Support Dream 7b,2025-04-09 01:29:47+00:00,
ollama/ollama,Some kernel names are not shown on Nvidia Nsight System,2025-04-08 19:26:31+00:00,2025-04-11 19:47:50+00:00
ollama/ollama,Understanding context length,2025-04-08 18:18:05+00:00,
ollama/ollama,NewLlamaServer failed - model requires more system memory for gemma3:12b,2025-04-08 14:08:27+00:00,2025-04-08 14:34:45+00:00
ollama/ollama,ollama run phi4-mini error,2025-04-08 13:55:51+00:00,
ollama/ollama,Option to disable CPU fallback for SOC with unified memory,2025-04-08 13:02:21+00:00,
ollama/ollama,mistral-small3.1 using too much VRAM,2025-04-08 12:50:57+00:00,2025-04-08 23:49:02+00:00
ollama/ollama,Switched to `nomic-embed-text` model but still get `8192` dimension,2025-04-08 06:26:06+00:00,2025-04-08 09:18:29+00:00
ollama/ollama,Mistral-small3.1 crashes on prompt,2025-04-08 05:59:32+00:00,2025-04-09 09:12:23+00:00
ollama/ollama,tensor-split  problem,2025-04-08 00:47:21+00:00,
ollama/ollama,Multimodal broken in 6.5?,2025-04-07 21:54:21+00:00,
ollama/ollama,Quantized Mistral small 3.1 doesn't utilize NVIDIA GPUs,2025-04-07 19:26:17+00:00,2025-04-08 15:37:45+00:00
ollama/ollama,Capitalize Ollama in `ollama` help description,2025-04-07 18:16:07+00:00,
ollama/ollama,Tool call - Ollama enforces usage of string in enums for JSON Schema,2025-04-07 16:33:06+00:00,2025-04-08 22:05:39+00:00
ollama/ollama,qwen2.5:72b and llama3:70b not using GPU – extremely slow and consume 40GB+ RAM,2025-04-07 15:47:36+00:00,2025-04-11 01:22:47+00:00
ollama/ollama,granite3.2-vision:latest or any other variants not running when trying to use image understanding capabilites,2025-04-07 10:34:06+00:00,2025-04-07 12:04:57+00:00
ollama/ollama,Will --ctx-size 24576 override the environment variable OLLAMA_CONTEXT_LENGTH?,2025-04-07 08:46:55+00:00,2025-04-13 20:28:46+00:00
ollama/ollama,gemma3:27b gets stuck into generating the same token and producing useless gibberish output,2025-04-07 07:58:40+00:00,
ollama/ollama,Llama4ForConditionalGeneration unsupported issue,2025-04-07 07:18:32+00:00,2025-04-07 11:03:28+00:00
ollama/ollama,Q6 quant (with vision support) for mistral-small:24b-3.1-instruct-2503?,2025-04-07 05:18:31+00:00,
ollama/ollama,Feature Request:Always use the GPU,2025-04-07 01:40:45+00:00,
ollama/ollama,Failed to load `mistral-small:24b-3.1-instruct-2503-q4_K_M`,2025-04-06 21:28:22+00:00,2025-04-06 21:45:39+00:00
ollama/ollama,Models listed aren't in order,2025-04-06 16:17:49+00:00,2025-04-07 17:29:54+00:00
ollama/ollama,RX580,2025-04-06 14:45:27+00:00,
ollama/ollama,dial tcp: lookup dd20bb891979d25aebc8bec07b2b3bbc.r2.cloudflarestorage.com: no such host,2025-04-06 14:09:59+00:00,2025-04-07 11:06:14+00:00
ollama/ollama,`OLLAMA_CONTEXT_LENGTH=4096` but `OllamaEmbeddings` still shows `8192`,2025-04-06 09:15:53+00:00,2025-04-08 04:04:46+00:00
ollama/ollama,"Why doesn't my L20 load the model into the GPU after starting ollama serve, here is the content of my OLLAMA_DEBUG=1 ollama serve.",2025-04-06 04:43:41+00:00,2025-04-06 13:42:01+00:00
ollama/ollama,Llama 4 support,2025-04-05 22:59:10+00:00,
ollama/ollama,Using Ollama Run -> /clear = Not clearing chat context,2025-04-05 22:08:20+00:00,
ollama/ollama,ollama version 5.11.0 is too slow in the generate process,2025-04-05 17:03:41+00:00,2025-04-06 04:41:46+00:00
ollama/ollama,OpenAI API: Models with slashes not retrievable,2025-04-05 16:25:37+00:00,
ollama/ollama,Installer corrupted: cublastLt64_12.dll corrupted + other files.,2025-04-05 11:45:11+00:00,
ollama/ollama,Performance is terrible,2025-04-05 07:47:50+00:00,2025-04-05 08:49:25+00:00
ollama/ollama,Where is the log file and how can I configure the location of it?,2025-04-05 02:59:15+00:00,2025-04-13 20:42:42+00:00
ollama/ollama,Very strange RAM behavior with v0.6.4 (memory leak?),2025-04-04 22:52:21+00:00,2025-04-08 21:30:44+00:00
ollama/ollama,Ai Vision - Wildy Different Results Between Gemma3 34b OpenAI / Vs Ollama Endpoint,2025-04-04 18:06:56+00:00,
ollama/ollama,Incorrect VRAM estimation,2025-04-04 17:34:17+00:00,
ollama/ollama,panic: failed to decode batch: could not find a kv cache slot (length: 6656),2025-04-04 16:39:08+00:00,
ollama/ollama,"Issue with HTTP Status ""100 ContinueHTTP/1.1 200 OK"" When Sending List Input to 'POST /api/embed' Endpoint",2025-04-04 12:27:56+00:00,2025-04-08 12:45:35+00:00
ollama/ollama,qwen2.5-coder-cline:14b not using NVIDIA GPU,2025-04-04 12:24:25+00:00,
ollama/ollama,How to allocate more to the GPU?,2025-04-04 10:27:15+00:00,2025-04-04 11:11:28+00:00
ollama/ollama,"Structure output ""allOf"":",2025-04-04 06:03:30+00:00,
ollama/ollama,Running Ollama as a k8s STS with external script as entrypoint to load models,2025-04-04 03:19:40+00:00,2025-04-05 08:36:44+00:00
ollama/ollama,Can't use official QAT GGUF of  Gemma-3-27b-it,2025-04-04 02:06:46+00:00,2025-04-19 18:23:36+00:00
ollama/ollama,Ollama hangs while generating a response,2025-04-03 22:59:18+00:00,
ollama/ollama,Maybe propose podman as it works well with GPU too,2025-04-03 22:04:08+00:00,
ollama/ollama,Deploy silently (macOS),2025-04-03 19:13:39+00:00,
ollama/ollama,Error: an error was encountered while running the model: unexpected EOF,2025-04-03 18:46:05+00:00,2025-04-03 23:55:49+00:00
ollama/ollama,Ollama not freeing and eventually running out of memory [all models],2025-04-03 15:28:36+00:00,2025-04-14 07:33:30+00:00
ollama/ollama,CUDA out of memory: Mixed VRAM Cards,2025-04-03 15:21:09+00:00,
ollama/ollama,Please Add Qwen/Qwen2.5-omni-7b,2025-04-03 14:45:36+00:00,2025-04-03 15:11:33+00:00
ollama/ollama,llama3-gradient:1048k stuck at loading model,2025-04-03 13:06:40+00:00,2025-04-04 13:24:19+00:00
ollama/ollama,Ollama does not recognize models that were copied,2025-04-03 12:56:44+00:00,2025-04-03 13:39:06+00:00
ollama/ollama,Connection refused from ollama server running in a k8s cluster?,2025-04-03 10:32:20+00:00,2025-04-03 11:24:36+00:00
ollama/ollama,Gracefully terminate a background `ollama serve` process via a ollama command,2025-04-03 09:47:49+00:00,
ollama/ollama,How to connect to ollama server running in a k8s cluster?,2025-04-03 08:47:32+00:00,2025-04-03 10:39:45+00:00
ollama/ollama,Does the Olama plan support the PPC64LE architecture,2025-04-03 08:24:28+00:00,2025-04-13 20:32:23+00:00
ollama/ollama,"docker ""ollama/ollama:latest"" image still pointing to 0.6.2",2025-04-03 08:03:37+00:00,2025-04-03 18:21:06+00:00
ollama/ollama,How to force `mmap=True` in low-memory conditions? (can't load/test a 250Gb quantized model with 200Gb RAM and 80Gb VRAM),2025-04-03 07:55:23+00:00,2025-04-13 20:27:53+00:00
ollama/ollama,Missing latest tag on latest release,2025-04-03 07:05:17+00:00,2025-04-03 20:53:26+00:00
ollama/ollama,`llama3.2` struggles to parse email into `EmailModel`,2025-04-03 06:15:57+00:00,2025-04-03 22:54:27+00:00
ollama/ollama,Update broken on Linux,2025-04-03 02:53:58+00:00,
ollama/ollama,Expect support for Qwen2.5 Omni,2025-04-03 02:32:15+00:00,2025-04-03 15:11:05+00:00
ollama/ollama,Feature Request: Display Minimum Hardware Requirement Specifications,2025-04-03 00:53:11+00:00,
ollama/ollama,Add an easy way to list all models and their capabilities,2025-04-02 23:38:12+00:00,
ollama/ollama,Unable to Unset `SYSTEM` Prompt When Creating New Models with `FROM`,2025-04-02 19:10:32+00:00,
ollama/ollama,Error creating Ollama model from hugging face microsoft/phi4,2025-04-02 18:13:13+00:00,
ollama/ollama,Using split memory (RAM+VRAM) should never happen,2025-04-02 17:32:54+00:00,
ollama/ollama,Nvidia Jetson Nano with cuda 10.2,2025-04-02 15:37:50+00:00,
ollama/ollama,Exceeding GPU memory even I have 2 GPUs,2025-04-02 15:05:08+00:00,2025-04-08 21:20:41+00:00
ollama/ollama,"Use HF's unsloth quantized multipart GGUF and maybe safetensors files directly (a directory with 6 files: `...-00001-of-00006.gguf`, etc) without requiring merging into a single GGUF file",2025-04-02 12:56:01+00:00,2025-04-13 20:25:47+00:00
ollama/ollama,Support of WSL1: cpu-only mode should probably work?,2025-04-02 11:29:46+00:00,
ollama/ollama,Long running ollama processes and high CPU usage,2025-04-02 09:02:08+00:00,
ollama/ollama,Feature Request: Add gRPC API Support,2025-04-02 08:59:52+00:00,
ollama/ollama,RWKV7 Support,2025-04-02 08:13:03+00:00,
ollama/ollama,can't use ollama create to load gguf models,2025-04-02 06:52:15+00:00,2025-04-13 20:24:26+00:00
ollama/ollama,Gemma3 cannot correctly read the image,2025-04-02 05:56:50+00:00,
ollama/ollama,Gemma3 adds new lines after message,2025-04-01 18:17:17+00:00,
ollama/ollama,Ollama doesn't release RAM,2025-04-01 16:36:40+00:00,
ollama/ollama,GPU Not Being Used Despite CUDA Installation and GPU Detection (Ollama 0.6.3 on Arch Linux(,2025-04-01 13:26:11+00:00,2025-04-07 17:41:18+00:00
ollama/ollama,can't run models,2025-04-01 09:50:55+00:00,2025-04-02 01:45:09+00:00
ollama/ollama,Does Olama support speech to text model,2025-04-01 08:45:55+00:00,2025-04-13 20:24:06+00:00
ollama/ollama,Can't pull a model to the k8s volume mounted by the AWS S3 CSI driver,2025-04-01 08:32:35+00:00,
ollama/ollama,"ollama run dimavz/whisper-tiny Error: Post ""http://127.0.0.1:11434/api/generate"": EOF",2025-04-01 08:27:05+00:00,2025-04-01 08:55:40+00:00
ollama/ollama,Phi4 multimodal with 128k context length support,2025-03-31 18:20:38+00:00,2025-03-31 18:44:53+00:00
ollama/ollama,Error: listen tcp 0.0.0.0:11434: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted.,2025-03-31 12:33:10+00:00,2025-03-31 20:47:09+00:00
ollama/ollama,Ollama didn't use GPUs since updating to v0.6.3!,2025-03-31 09:08:22+00:00,2025-04-01 09:13:08+00:00
ollama/ollama,Freezes my second video cards output,2025-03-31 06:44:37+00:00,
ollama/ollama,ollama run bge-m3 not support generate,2025-03-31 03:55:24+00:00,2025-04-01 01:08:36+00:00
ollama/ollama,Why can ollama pull linux6200/bge-reranker-v2-m3 but not support models,2025-03-31 03:17:10+00:00,2025-03-31 18:50:02+00:00
ollama/ollama,endpoint to return gpu device information,2025-03-30 22:39:33+00:00,2025-03-30 23:06:50+00:00
ollama/ollama,GPU Usage Issue After Sleep Mode or Hibernation,2025-03-30 17:10:08+00:00,2025-03-31 18:51:46+00:00
ollama/ollama,Support for Sapnous-VR-6B,2025-03-30 14:45:51+00:00,
ollama/ollama,Extremely Slow Model Download Speed Despite Fast Internet Connection (Windows 11),2025-03-30 13:58:57+00:00,2025-03-31 09:54:05+00:00
ollama/ollama,Can a path for OLLAMA_MODELS contain a space ?,2025-03-30 13:30:23+00:00,2025-04-13 20:23:54+00:00
ollama/ollama,amd can't use ollama after 0.5.12,2025-03-30 07:39:32+00:00,2025-03-30 09:01:48+00:00
ollama/ollama,OLLAMA_INTEL_GPU=1 segmentation fault,2025-03-29 22:34:05+00:00,
ollama/ollama,gemma EOF error on image input due to improper memory management,2025-03-29 16:25:15+00:00,
ollama/ollama,System memory leak. Gemma3,2025-03-29 14:52:08+00:00,2025-04-11 18:13:23+00:00
ollama/ollama,`ollama ls` : add extra arg to choose sorting order,2025-03-29 10:49:16+00:00,2025-03-29 11:57:14+00:00
ollama/ollama,Using Qwen as agent in VS Code,2025-03-29 09:03:30+00:00,2025-04-13 20:23:19+00:00
ollama/ollama,Using Qwen as agent in VS Code,2025-03-29 09:03:19+00:00,2025-03-29 11:17:18+00:00
ollama/ollama,Cannot load custom models,2025-03-29 09:01:36+00:00,2025-03-31 14:12:15+00:00
ollama/ollama,[0.6.3] : `/set parameter num_thread` not documented in client help,2025-03-29 07:55:34+00:00,
ollama/ollama,HSA_OVERRIDE_GFX_VERSION for individual GPU's required,2025-03-29 07:11:01+00:00,
ollama/ollama,Unload model to RAM instead of disk,2025-03-29 00:41:10+00:00,2025-03-31 11:06:12+00:00
ollama/ollama,"Deepseek R1, 671b is faster than 70b",2025-03-28 18:35:37+00:00,
ollama/ollama,"YAML parsing fails with cryptic error ""Fatal Error: Failed to parse assistant: models.0: Invalid inputmodels.1: Invalid input""",2025-03-28 16:37:36+00:00,2025-04-02 22:13:55+00:00
ollama/ollama,GPU is unavailable after docker starts ollama for a while,2025-03-28 07:48:08+00:00,2025-03-28 20:23:50+00:00
ollama/ollama,[Homepage] Replace the ancient Mistral 7b with a newer model,2025-03-28 05:26:03+00:00,
ollama/ollama,/api/tokenize  404,2025-03-28 03:30:55+00:00,2025-04-03 23:09:35+00:00
ollama/ollama,CPU inference much slower than expected,2025-03-27 21:12:23+00:00,
ollama/ollama,AWQ support?,2025-03-27 21:05:52+00:00,
ollama/ollama,"mkdir /mnt/LLM/ollama: permission denied, when trying to change the model location",2025-03-27 19:56:02+00:00,2025-03-27 21:42:03+00:00
ollama/ollama,[Feature Request] Add a search command in ollama to search ollama for available models,2025-03-27 17:02:51+00:00,2025-03-27 19:11:02+00:00
ollama/ollama,404 Page Not Found when trying to access /api/generate,2025-03-27 16:39:53+00:00,2025-03-28 17:01:31+00:00
ollama/ollama,"Final stream chunk missing ""done"": true despite completed response",2025-03-27 15:35:35+00:00,2025-03-27 18:29:28+00:00
ollama/ollama,Podman on Ubuntu can't find gpus,2025-03-27 13:57:45+00:00,
ollama/ollama,Show GPU system requirements for each model,2025-03-27 12:37:11+00:00,2025-03-27 16:07:36+00:00
